"name","id.geon","id.wiki","id.oape"
"الولايات العثمانية","NA","NA","1"
"قصر ييلدز","NA","NA","2"
"الأستانة","745044","NA","3"
"بلاد الشام","6754242","NA","4"
"القدس","281184","NA","6"
"النبطية","7870014","NA","7"
"يافا","293253","NA","12"
"جبل عامل","278960","NA","5"
"صور","267008","NA","8"
"صيدا","268064","NA","9"
"ولاية حلب","NA","NA","14"
"بيره جك","321062","NA","164"
"إسكندرونة","311111","NA","13"
"حلب","170063","NA","15"
"دير الزور","170794","NA","16"
"سروج","9233","NA","17"
"لواء اللاذقية","NA","NA","18"
"اللاذقية","173576","NA","19"
"قضاء عينتاب","NA","NA","20"
"عينتاب","314830","NA","21"
"Mersin","304531","NA","23"
"أضنة","325363","NA","22"
"طرسوس","299817","NA","24"
"ولاية بيروت","NA","NA","25"
"بيروت","276781","NA","26"
"عبي","276789","NA","27"
"عاليه","280425","NA","28"
"النصارة","294098","NA","369"
"طبرية","293322","NA","10"
"نابلس","7870555","NA","11"
"لواء طرابلس","NA","NA","29"
"طرابلس الشام","266826","NA","30"
"عكار","274723","NA","31"
"لواء عكا","NA","NA","32"
"عكا","295721","NA","33"
"قضاء حيفا","NA","NA","34"
"حيفا","294801","NA","35"
"سورية","163843","NA","36"
"Madā’in Şāliḩ","104645","NA","37"
"تبوك","101628","NA","38"
"District 12","4353210","NA","39"
"مرجعيون","271225","NA","40"
"الزبداني","172059","NA","42"
"برزة","171742","NA","41"
"القدم","173394","NA","43"
"بلودان","171331","NA","44"
"دمر","170585","NA","45"
"قابون","173396","NA","46"
"محطة القدم","173393","NA","47"
"عين الفيجة","7894838","NA","48"
"Damascus (kaza)","NA","NA","49"
"المزة","173470","NA","51"
"اليرموك","8422856","NA","52"
"جوبر","169137","NA","53"
"كفر سوسة","11395650","NA","50"
"ناحية جرمانا","8609526","NA","54"
"الغوطة","173866","NA","55"
"River Barada","NA","NA","56"
"River Sufaniyya","NA","NA","57"
"River Thawra","NA","NA","58"
"River Zaynabiyya","NA","NA","59"
"Straight Street","NA","NA","60"
"دمشق","170654","NA","61"
"Jewish Quarter","NA","NA","62"
"British consulate","NA","NA","63"
"جامع التوبة","7642661","NA","64"
"قلعة دمشق","7642380","NA","65"
"ساحة الاتحاد","7642535","NA","66"
"Ad Daḩdāḩ","174271","NA","67"
"العمارة البرانية","7642458","NA","68"
"العمارة الجوانية","173263","NA","69"
"Mazz al-Qaṣab","NA","NA","70"
"باب السلام","7642459","NA","71"
"عقيبة","173134","NA","72"
"المسجد المعلق","NA","NA","73"
"جامع السادات","8430647","NA","74"
"Qanāyat al-Ḥuṭub","NA","NA","76"
"Sāḥat al-Dawāmina","NA","NA","75"
"باب تومى","7642471","NA","77"
"Sufaniyya","NA","NA","78"
"Tala' al -Qubba","NA","NA","79"
"باب شرقي","7642405","NA","80"
"ʿAzīziyya Barracks","NA","NA","81"
"Greek Orthodox Patriarchate","NA","NA","82"
"Greek Catholic Patriarchate","NA","NA","83"
"Ḥammām al-Bakrī","NA","NA","84"
"St. John's","NA","NA","85"
"Darwishiyya","NA","NA","87"
"Marja","2330755","NA","86"
"شارع النصر","NA","NA","88"
"قنوات","NA","NA","89"
"المرقص","NA","NA","90"
"بحصة","7642463","NA","91"
"Jāmiʿ ʿĪsā Pasha","NA","NA","93"
"New Serail","NA","NA","92"
"محطة الحجاز","173780","NA","94"
"Sinaniyya","NA","NA","95"
"باب الجابية","8379592","NA","96"
"Sinaniyya Mosque","NA","NA","97"
"Baramke","NA","NA","98"
"Bustan al-A'jam","NA","NA","100"
"Ghuraba Hospital","NA","NA","99"
"Hamidiye barracks","NA","NA","101"
"جامع التقية","7642725","NA","102"
"محطة القطار (البرامكة)","171794","NA","103"
"Sancakdar","NA","NA","105"
"Suq al-Khuja","NA","NA","104"
"Taht al-Qala'","NA","NA","106"
"Military Serai","NA","NA","107"
"القيمرية","7642461","NA","108"
"Salihiyya street","NA","NA","109"
"الجسر الأبيض","8419672","NA","110"
"الصالحية","NA","NA","111"
"Mosque of Ibn Arabi","NA","NA","112"
"الاكراد","NA","NA","113"
"المهاجرين","NA","NA","114"
"الشاغور","250295","NA","115"
"الباب الصغير","7642410","NA","116"
"ساروجا","7642451","NA","117"
"Bab al-Qala'","NA","NA","124"
"Suq Bab al-Barid","NA","NA","119"
"Suq Midhat Pasha","NA","NA","123"
"Suq al-Khayyatin","NA","NA","122"
"Suq al-Qutn","NA","NA","126"
"Sūq al-Silāḥ","NA","NA","125"
"Suq al-Hamidiyya","NA","NA","121"
"Suq al-Buzuriyya","NA","NA","120"
"'Asruniya","NA","NA","118"
"السوق الجديد","76930","NA","127"
"الحميدية","7642567","NA","128"
"الجامع الاموي","NA","NA","129"
"Suq al-Kharrab","NA","NA","132"
"Suq al-Khayl","NA","NA","133"
"Suq al-Surujiyya","NA","NA","134"
"Suq al-Zarabiliyya","NA","NA","135"
"Suq al-Atik","NA","NA","130"
"Suq al-Harir","NA","NA","131"
"Suq Ali Pasha","NA","NA","136"
"اسواق","10921199","NA","137"
"Kharrāb","127725","NA","138"
"مكتب عنبر","8373421","NA","139"
"مئذنة الشحم","7642478","NA","140"
"Madhanat al-Shahm","NA","NA","141"
"Midān","93497","NA","142"
"Jizmatiyya","NA","NA","143"
"Suwayqa","NA","NA","144"
"Lower Midan","NA","NA","145"
"ساحة اليرموك","7642484","NA","146"
"قبر عاتكة","7642481","NA","147"
"باب سريجة","7642482","NA","148"
"Mosque of Murad Pasha","NA","NA","149"
"Upper Midan","NA","NA","150"
"Bab Misr","NA","NA","151"
"Midan station","NA","NA","152"
"Duma (kaza)","NA","NA","153"
"Dūmā","170592","NA","154"
"حرستا","169897","NA","155"
"جبل قلمون","166237","NA","156"
"صيدنايا","164717","NA","157"
"النبك","108648","NA","158"
"ناحية دير عطية","7895199","NA","159"
"ناحية معلولا","7894734","NA","160"
"يبرود","162627","NA","161"
"بعلبك","277130","NA","162"
"قلعة بعلبك","NA","NA","163"
"محافظة البقاع","280282","NA","165"
"زحلة","266045","NA","166"
"رياق","268661","NA","167"
"حاصبيا","274313","NA","168"
"قضاء وادي العجم","NA","NA","169"
"قضاء راشيا","268737","NA","170"
"راشيا","268737","NA","171"
"درعا","170905","NA","172"
"لواء حماة","NA","NA","173"
"منطقة حماة","170016","NA","174"
"حماة","170017","NA","175"
"Ḩimş","169577","NA","176"
"معرة النعمان","167611","NA","177"
"Hawran (District)","NA","NA","178"
"Suwayda","350739","NA","179"
"الشيخ مسكين","164328","NA","180"
"المزيريب","166503","NA","181"
"بصر الحرير","171127","NA","182"
"بصرى الشام","171126","NA","183"
"عجلون","250799","NA","184"
"قنوات","166141","NA","185"
"اللجاه","173573","NA","186"
"حوران","170560","NA","187"
"القنيطرة","173334","NA","188"
"مجدل شمس","167444","NA","189"
"ببترا","NA","NA","190"
"لواء الكرك","8621697","NA","191"
"بئر سبع","295530","NA","376"
"معان","248382","NA","192"
"قضاء الكرك","NA","NA","193"
"الكرك","2022932","NA","194"
"قضاء الطفيلة","NA","NA","195"
"وادي الطفيلة","249382","NA","196"
"Belqa (District)","NA","NA","197"
"الزرقاء","250090","NA","198"
"السلط","250258","NA","199"
"الخربة السمراء","250609","NA","200"
"المفرق","250582","NA","201"
"فلسطين","6254930","NA","202"
"لبنان","273607","NA","203"
"البترون","280328","NA","204"
"الحدث","280134","NA","207"
"الشويفات","8134087","NA","370"
"بعبدا","277226","NA","205"
"جونية","8041193","NA","206"
"حريصا","NA","NA","377"
"الخليل","285066","NA","378"
"جبل الشيخ","169612","NA","208"
"بين النهرين","11260370","NA","371"
"العراق","99237","NA","209"
"البصرة","99532","NA","210"
"الموصل","99072","NA","211"
"الديوانية","99762","NA","373"
"الكاظمية","447476","NA","374"
"كربلاء","94824","NA","372"
"ولاية بغداد","NA","NA","212"
"بابل","98227","NA","213"
"آشور","45574","NA","214"
"النجف","98862","NA","215"
"بغداد","98182","NA","216"
"الحجاز","11785447","NA","217"
"المدينة المنورة","109223","NA","218"
"جدة","105343","NA","219"
"مكة","104515","NA","220"
"جزيرة العرب","6957697","NA","221"
"طرابلس الغرب","2210247","NA","222"
"أسوان","359792","NA","224"
"الإسكندرية","361058","NA","225"
"القاهرة","360630","NA","226"
"حلوان","355795","NA","227"
"دمنهور","358448","NA","228"
"طنطا","347497","NA","229"
"كفر الزيات","354365","NA","230"
"دار الكتب المصري","NA","NA","231"
"Elephantine","359790","NA","232"
"جزيرة أسوان","11072230","NA","223"
"اليمن","69543","NA","233"
"الروم إيلي","NA","NA","234"
"ادرنة","747712","NA","235"
"سلانيك","734077","NA","236"
"مناستر","324603","NA","237"
"الاناضول","323835","NA","238"
"ازمير","311046","NA","239"
"الحضارة","7354617","NA","240"
"بور رويال","NA","NA","241"
"ضفاف بردى","NA","NA","243"
"البحر الرومي","NA","NA","244"
"الحلوجي","NA","NA","245"
"المغرب الأقصى","NA","NA","246"
"برج عمود","NA","NA","247"
"بعجه سراي","NA","NA","248"
"بيرام زاده","NA","NA","249"
"حمام الجرب","NA","NA","251"
"حمام الريح","NA","NA","252"
"حمام سليم","NA","NA","253"
"سوق البلاط","NA","NA","254"
"شارتونبرغ","NA","NA","255"
"فارسوفيا","NA","NA","256"
"كوتنغن","NA","NA","257"
"وادي اليرموك","NA","NA","258"
"آسيا","6255147","NA","259"
"آسيا الصغرى","323835","NA","260"
"أفريقية","6255146","NA","261"
"أوربا","9408659","NA","262"
"خراسان","6201376","NA","263"
"الحديدة","79415","NA","264"
"طوس","385399","NA","265"
"عشاق","298299","NA","266"
"وادي موسى","246008","NA","267"
"نادي دار العلوم","NA","NA","268"
"جدره","1442556","NA","250"
"كرسون","6746378","NA","269"
"ضفاف النيل","12085354","NA","242"
"نهر الشريعة","294624","NA","270"
"اسوج","NA","NA","271"
"الجبل السود","NA","NA","272"
"الجمهورية الفضية","NA","NA","273"
"أوستراليا","2077456","NA","275"
"الارغواي","3439705","NA","276"
"البلجيك","2802361","NA","277"
"الجزائر","2589581","NA","278"
"الدانيمرك","2623032","NA","279"
"الصين","1814991","NA","280"
"اليابان","1861060","NA","281"
"اليونان","390903","NA","282"
"بلغاريا","732800","NA","283"
"بوليفيا","3923057","NA","284"
"بيرو","3932488","NA","285"
"تشيلي","3871336","NA","286"
"رومانيا","798549","NA","287"
"نروج","3144096","NA","288"
"الرومان","11904140","NA","274"
"سويسرا","2658434","NA","289"
"بيرن","2661552","NA","290"
"جنيف","2660646","NA","291"
"زيورخ","2657896","NA","292"
"الهند","1269750","NA","293"
"مدينة لكنأو","1264733","NA","294"
"طلوسه","NA","NA","295"
"البرتقال","2264397","NA","296"
"الكراف","2271989","NA","297"
"سانتارم","2263478","NA","298"
"إيران","130758","NA","299"
"طهران","112931","NA","300"
"الولايات المتحدة","6252001","NA","301"
"بروفيدنس","5224151","NA","302"
"نيويورك","5128581","NA","303"
"نبراسكا","5073708","NA","304"
"اوماها","5074472","NA","305"
"لنكن","5072006","NA","306"
"فرجينيا","943882","NA","307"
"بوسطن","4930956","NA","308"
"ولاية الالاسكا","5879092","NA","309"
"سان فرنسيسكو","3621911","NA","311"
"كليفورنيا","11071615","NA","310"
"ولاية ايلينوا","NA","NA","312"
"سبرينج فيلد، إلينوي","4250542","NA","313"
"شيكاغو","4887398","NA","314"
"فيلادلفيا","4560349","NA","315"
"ولاية كنساس","4393217","NA","316"
"ولاية أيوا","4862182","NA","317"
"ولاية نيوجرسي","6955102","NA","318"
"ساندي هوك","6140756","NA","319"
"جورودس","NA","NA","320"
"فرنسا","3017382","NA","321"
"باريز","2988507","NA","322"
"ليون","2996944","NA","323"
"إيطاليا","3175395","NA","324"
"بولونيا","3181928","NA","325"
"ميلان","3173435","NA","326"
"إنكلترا","2635167","NA","327"
"اكسفورد","2640729","NA","328"
"غلاسكو","2648579","NA","329"
"لانكاستر","2644972","NA","330"
"لندن","2643743","NA","331"
"المملكة التونسية","2464461","NA","332"
"تونس","2464470","NA","333"
"إسبانيا","2521750","NA","334"
"غرناطة","2517117","NA","335"
"الأندلس","2593109","NA","336"
"مملكة مراكش","NA","NA","337"
"فاس","2548885","NA","338"
"ألمانيا","2921044","NA","339"
"إمارة ساكس","2842567","NA","340"
"بروسيا","3082436","NA","341"
"Halle","2911522","NA","342"
"برلين","2950159","NA","343"
"فرانكفورت","2925533","NA","405"
"ليبسيك","5160611","NA","344"
"هايدلبرغ","2907911","NA","345"
"النمسا","2782113","NA","346"
"بودابست","3054643","NA","375"
"سالزبورغ","2766824","NA","347"
"فينا","2761369","NA","348"
"استوكهولم","2673730","NA","349"
"جوتلاند","2711511","NA","350"
"روسيا","2017370","NA","351"
"أورينبورغ","515003","NA","352"
"الموسكي","9179530","NA","353"
"باكو","587084","NA","354"
"بطرسبرج","498817","NA","355"
"قزان","551487","NA","356"
"موسقو","524901","NA","357"
"نوفوغوردو","520555","NA","358"
"القافقاس","615318","NA","359"
"القريم","703884","NA","360"
"الأرجنتين","3865483","NA","361"
"بونس أيرس","3435910","NA","362"
"بلاد برازيل","3469034","NA","363"
"ريو دي جانيرو","3451190","NA","380"
"سان باولو","3448439","NA","364"
"هولندة","11495075","NA","365"
"أوترخت","2745912","NA","366"
"ليدن","2751773","NA","367"
"جبال مكيس","NA","NA","368"
"مدغشقر مدغكسر","NA","NA","404"
"أوبسال","NA","NA","382"
"اطنة","NA","NA","384"
"الترنسفال","NA","NA","385"
"بلاد السويد","NA","NA","390"
"جبال الخليل","NA","NA","393"
"جبال طوروس","NA","NA","394"
"جزيرة كليبولي","NA","NA","396"
"دبار بكر","NA","NA","398"
"سلسلة جبال طوروس","NA","NA","401"
"قينارجة","NA","NA","402"
"كيليكيا","NA","NA","403"
"السنغال","2245662","NA","387"
"السودان","366755","NA","388"
"خربوط","97385","NA","397"
"العجم","6755774","NA","389"
"رأس العين","92041","NA","399"
"جبل الكرمل","294579","NA","395"
"رومية","11829477","NA","400"
"أمريكا","7729890","NA","381"
